experiment_id,cc,bw_mbps,rtt_ms,queue_pkts,declared_duration_s,t_submit_epoch,t_finish_epoch,wall_s,status
wget_5_5_275_pfifo_cubic_9c8eaa08,cubic,5,275,512,60,1783525153.209192583,1783525335.205167308,181.995974725,complete
wget_5_5_275_pfifo_bbr_e5a27484,bbr,5,275,512,60,1783525335.561963464,1783525512.571662109,177.009698645,complete
wget_5_5_275_pfifo_bic_a367e66e,bic,5,275,512,60,1783525512.922593984,1783525694.971223327,182.048629343,complete
wget_5_5_275_pfifo_cdg_ac54c836,cdg,5,275,512,60,1783525695.301393010,1783525857.109432195,161.808039185,complete
wget_5_5_275_pfifo_highspeed_0b86f0ff,highspeed,5,275,512,60,1783525857.438483348,1783526054.660805835,197.222322487,complete
wget_5_5_275_pfifo_htcp_da808c47,htcp,5,275,512,60,1783526055.002617132,1783526236.955230096,181.952612964,complete
wget_5_5_275_pfifo_hybla_c0284576,hybla,5,275,512,60,1783526237.299257353,1783526414.303304215,177.004046862,complete
wget_5_5_275_pfifo_illinois_194d74c9,illinois,5,275,512,60,1783526414.714161175,1783526596.792851083,182.078689908,complete
wget_5_5_275_pfifo_nv_276ff45a,nv,5,275,512,60,1783526597.190909472,1783526774.133446552,176.942537080,complete
wget_5_5_275_pfifo_scalable_180c19fe,scalable,5,275,512,60,1783526774.529827754,1783526956.490783145,181.960955391,complete
wget_5_5_275_pfifo_vegas_9a36164b,vegas,5,275,512,60,1783526956.881242660,1783527133.907911513,177.026668853,complete
wget_5_5_275_pfifo_veno_0811f434,veno,5,275,512,60,1783527134.335982978,1783527316.349665497,182.013682519,complete
wget_5_5_275_pfifo_westwood_6e28fde6,westwood,5,275,512,60,1783527316.743868941,1783527488.767753296,172.023884355,complete
wget_5_5_275_pfifo_yeah_b93fa637,yeah,5,275,512,60,1783527489.152062067,1783527676.222308582,187.070246515,complete
wget_5_5_275_pfifo_reno_f3600bc3,reno,5,275,1024,60,1783527676.574207993,1783527853.683010969,177.108802976,complete
wget_5_5_275_pfifo_cubic_d6acfa1f,cubic,5,275,1024,60,1783527854.099141446,1783528036.144081441,182.044939995,complete
wget_5_5_275_pfifo_bbr_54720862,bbr,5,275,1024,60,1783528036.566990847,1783528213.517690665,176.950699818,complete
wget_5_5_275_pfifo_bic_0d8d1c4a,bic,5,275,1024,60,1783528213.939430970,1783528395.927758743,181.988327773,complete
wget_5_5_275_pfifo_cdg_4fff8083,cdg,5,275,1024,60,1783528396.314449011,1783528542.967639199,146.653190188,complete
wget_5_5_275_pfifo_highspeed_13d525f7,highspeed,5,275,1024,60,1783528543.238700153,1783528694.874871247,151.636171094,complete
wget_5_5_275_pfifo_htcp_61980ac4,htcp,5,275,1024,60,1783528695.258213912,1783528872.187602518,176.929388606,complete
wget_5_5_275_pfifo_hybla_07c6d081,hybla,5,275,1024,60,1783528872.559449163,1783529054.495192299,181.935743136,complete
wget_5_5_275_pfifo_illinois_ead2b381,illinois,5,275,1024,60,1783529054.887927787,1783529232.135763151,177.247835364,complete
wget_5_5_275_pfifo_nv_dbc4945d,nv,5,275,1024,60,1783529232.522174387,1783529409.603908077,177.081733690,complete
wget_5_5_275_pfifo_scalable_57704c10,scalable,5,275,1024,60,1783529410.028016749,1783529597.059870733,187.031853984,complete
wget_5_5_275_pfifo_vegas_0a1d0036,vegas,5,275,1024,60,1783529597.483492939,1783529774.553113387,177.069620448,complete
wget_5_5_275_pfifo_veno_1e7a0e6f,veno,5,275,1024,60,1783529774.992186112,1783529957.040327277,182.048141165,complete
wget_5_5_275_pfifo_westwood_32a7efb3,westwood,5,275,1024,60,1783529957.435218873,1783530129.398003897,171.962785024,complete
wget_5_5_275_pfifo_yeah_cd1d02ae,yeah,5,275,1024,60,1783530129.791204699,1783530316.840551940,187.049347241,complete
